Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C0805,C2,680pF,C0805,1,
2,,C0805,C1C7C9,100nF,C0805,3,
3,,B,C4C5C6C10,10u/10V,B,4,
4,,B,C8,10uF/10V,B,1,
5,,C0805,C3,1nF presny,C0805,1,
6,,SPEC_805,CX-LX0,SPEC_805,SPEC_805,1,
7,,L1210,L1,68uH presny,1210,1,
8,,L1210,L2,BLM21PG300SN1D,1210,1,
9,,R0805,R6,0,0805,1,
10,,R0805,R5,1k,0805,1,
11,,R0805,R1,47k,0805,1,
12,,R0805,R2R3R4,100k,0805,3,
13,,MA02-1,SV3SV4,MA02-1,MA02-1,2,
14,,MA02-2,SV1,MA02-2,MA02-2,1,
15,,MA03-2,SV2,MA03-2,MA03-2,1,
16,,ADG888YRUZ,U1,ADG888YRUZ,SOP65P640X120-16N,1,
17,,74HC1G14,X4,74HC1G14,SOT353,1,
18,,LM311,X3,LM311,SO8,1,
19,,SROUB3M,X1X2X6X7,SROUB3M,SROUB3M,4,
