Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C0805",142.8011,-103.8836,90.0000,bottom
"C2","680pF","C0805",145.1511,-110.9236,90.0000,bottom
"C3","1nF presny","C0805",144.2761,-108.3136,180.0000,bottom
"C4","10u/10V","B",148.0761,-107.1686,90.0000,bottom
"C5","10u/10V","B",141.4711,-95.6836,-90.0000,bottom
"C6","10u/10V","B",138.4361,-101.3886,-90.0000,bottom
"C7","100nF","C0805",144.7561,-103.9236,90.0000,bottom
"C8","10uF/10V","B",152.7861,-105.4936,90.0000,bottom
"C9","100nF","C0805",160.1311,-105.2436,-90.0000,bottom
"C10","10u/10V","B",154.7311,-111.3936,90.0000,bottom
"CX-LX0","","SPEC_805",132.6811,-101.9536,90.0000,top
"L1","68uH presny","1210",130.9461,-107.5486,90.0000,bottom
"L2","BLM21PG300SN1D","1210",157.6261,-106.8736,-90.0000,bottom
"R1","47k","0805",154.9211,-96.9436,90.0000,bottom
"R2","100k","0805",141.6411,-100.4636,90.0000,bottom
"R3","100k","0805",152.5611,-96.9436,90.0000,bottom
"R4","100k","0805",149.3911,-103.0536,0.0000,bottom
"R5","1k","0805",152.5511,-100.5636,-90.0000,bottom
"R6","0","0805",154.9411,-100.5636,90.0000,bottom
"SV1","","MA02-2",143.2611,-115.1636,180.0000,top
"SV2","","MA03-2",163.7411,-107.4036,90.0000,top
"SV3","MA02-1","MA02-1",150.4011,-115.1636,-90.0000,top
"SV4","MA02-1","MA02-1",163.7411,-101.1436,180.0000,top
"U1","ADG888YRUZ","SOP65P640X120-16N",137.0611,-107.3136,180.0000,bottom
"X1","SROUB3M","SROUB3M",133.2611,-115.1636,0.0000,top
"X2","SROUB3M","SROUB3M",133.2611,-94.8436,0.0000,top
"X3","LM311","SO8",147.3211,-98.6236,90.0000,bottom
"X4","74HC1G14","SOT353",157.6361,-103.4886,90.0000,bottom
"X6","SROUB3M","SROUB3M",163.7411,-94.8436,0.0000,top
"X7","SROUB3M","SROUB3M",163.7411,-115.1636,0.0000,top
